MCM4,MALAT1,CCDC86,CENPF
RMI2,ABI2,EIF2AK4,KIF14
HIST1H2AG,Blank-0240,CAMK2N1,TPX2
MCM6,Blank-2230,RRP9,TOP2A
KLHL29,PVRL4,TGM2,SGOL2
ANKRD1,SERPINB7,CDC20,KIF2C
GPD2,EPHX1,TOMM34,DLGAP5
GREB1L,MAP1A,PAK1IP1,GTSE1
FAM111B,ZNF114,EFHD2,TTK
PCNAP3,KBTBD2,TOP1,CKAP2
TP73,CSMD3,ABCE1,CKAP2L
E2F1,CBX7,ALDH1B1,CKAP5
AMOTL1,MYO18B,PNPT1,GAS2L3
RNF144A,TM7SF3,THBS1,NEURL1B
DSCC1,MMP14,SLC39A14,KIF18A
H1F0,TNFRSF13C,CCND2,KIF11
HEG1,MAP2,SLC5A6,DCAF7
LBH,PCDH17,SAPCD2,CCNF
SSH1,NBEAP1,DDX21,ASPM
EMP2,SLC17A5,SLC35F2,TNFAIP8L1
CDC6,ZBTB10,SRPRB,KIFC1
BRIP1,ITGAV,FLRT3,BORA
CHAF1A,PROS1,EPB41L4B,KIF5B
DTX3L,SPRY2,EIF4A3,BUB1B
ARL6IP6,CSDC2,HOMER1,SHCBP1
DTNA,ZNF763,ETF1,CDC27
CYP26B1,NXN,SSR3,KIF20B
MBOAT1,MIAT,SNX30,MALAT1
RGS7,RUSC2,SH2D5,CCSAP
KLF13,NDFIP2,COA7,GPSM2
DBNDD1,DDX17,POLR3G,CIT
C1QTNF2,CCNG2,C11orf24,NDE1
DDX39B,GREB1,CD3EAP,CDC20
CRMP1,ZMAT3,IVD,KDM4A
TUFMP1,NFKB2,AFAP1L1,KCTD9
SYNE2,GRID2,UFM1,ANP32E
KIAA0040,TAP1,DUSP7,STK17B
LPP,AFF1,SLC16A1,C2orf69
TBC1D8,POTEC,ACSL1,SOGA1
MCM3,SQSTM1,ZNF703,FZD2
GABARAPL1,UFD1L,ATMIN,PIF1
RASEF,CREBRF,CD44,DCP2
WDR76,RPLP0P2,FARSB,RNF26
